Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal
2025.08.06 00:21:07,587.0,XAUUSDc,buy,3.07 / 3.07,0.0,3382.572,3395.577,2025.08.06 00:21:07,filled,Range Breakout Buy,2025.08.06 00:21:07,582.0,XAUUSDc,buy,in,3.07,3384.225,0,0.0,0.0,148.19,Range Breakout Buy
2025.08.06 00:41:24,588.0,XAUUSDc,sell,3.07 / 3.07,0.0,,,2025.08.06 00:41:24,filled,sl 3382.572,2025.08.06 00:41:24,583.0,XAUUSDc,sell,out,3.07,3382.544,0,0.0,-5.16,143.03,sl 3382.572
2025.08.07 00:03:13,589.0,XAUUSDc,sell,0.99 / 0.99,0.0,3370.403,3331.658,2025.08.07 00:03:13,filled,Range Breakout Sell,2025.08.07 00:03:13,584.0,XAUUSDc,sell,in,0.99,3366.364,0,0.0,0.0,143.03,Range Breakout Sell
2025.08.07 00:14:30,590.0,XAUUSDc,buy,0.99 / 0.99,0.0,,,2025.08.07 00:14:30,filled,sl 3370.403,2025.08.07 00:14:30,585.0,XAUUSDc,buy,out,0.99,3370.44,0,0.0,-4.04,138.99,sl 3370.403
2025.08.11 00:03:05,591.0,XAUUSDc,sell,1.5 / 1.5,0.0,3391.639,3366.628,2025.08.11 00:03:05,filled,Range Breakout Sell,2025.08.11 00:03:05,586.0,XAUUSDc,sell,in,1.5,3389.103,0,0.0,0.0,138.99,Range Breakout Sell
2025.08.11 00:08:05,592.0,XAUUSDc,buy,1.5 / 1.5,0.0,,,2025.08.11 00:08:05,filled,sl 3391.639,2025.08.11 00:08:05,587.0,XAUUSDc,buy,out,1.5,3391.642,0,0.0,-3.81,135.18,sl 3391.639
2025.08.13 00:03:01,593.0,XAUUSDc,sell,2.48 / 2.48,0.0,3350.783,3336.122,2025.08.13 00:03:01,filled,Range Breakout Sell,2025.08.13 00:03:01,588.0,XAUUSDc,sell,in,2.48,3349.236,0,0.0,0.0,135.18,Range Breakout Sell
2025.08.13 01:46:27,594.0,XAUUSDc,buy,2.48 / 2.48,0.0,,,2025.08.13 01:46:27,filled,sl 3350.783,2025.08.13 01:46:27,589.0,XAUUSDc,buy,out,2.48,3350.797,0,0.0,-3.87,131.31,sl 3350.783
2025.08.14 00:03:01,595.0,XAUUSDc,buy,1.75 / 1.75,0.0,3362.743,3382.939,2025.08.14 00:03:01,filled,Range Breakout Buy,2025.08.14 00:03:01,590.0,XAUUSDc,buy,in,1.75,3365.156,0,0.0,0.0,131.31,Range Breakout Buy
2025.08.14 03:00:01,596.0,XAUUSDc,sell,1.75 / 1.75,0.0,,,2025.08.14 03:00:01,filled,sl 3362.743,2025.08.14 03:00:01,591.0,XAUUSDc,sell,out,1.75,3362.739,0,0.0,-4.23,127.08,sl 3362.743
